id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1641243789921583105,1641243789921583105,2023-03-30 07:59:47 +07,2023-03-30,07:59:47,+0700,1595524114093072386,worldpopcoin,World Population Coin 🌎,,First Playthrough and doing 100% in #TheLastOfUsPart1 .   Below starting soon. • $100 Giveaways start in April 11 (Twitch &amp; Twitter) • Get paid in $WORLD cryptocurrency for watching the stream  • Will have discounted $WORLD pricing for subs  https://t.co/LdCTKZfHJx…,en,[],['https://www.twitch.tv/worldpopcoin'],[],0,0,0,['thelastofuspart1'],"['world', 'world']",https://twitter.com/WorldPopCoin/status/1641243789921583105,False,,0,,,,,,,,[],,,,
1641243786788450305,1641243786788450305,2023-03-30 07:59:46 +07,2023-03-30,07:59:46,+0700,1609908607612604416,cryptotariq,𝕋𝔸ℝ𝕀Q - Crypto💰💻 📈,,"🤑💰Looking for the #gems in the crypto world? Check out these coins with amazing fundamentals but still flying under the radar: #$CHNG, #$AZERO, #$TAO, #$TRIAS, #$ROUTE, #$SAITO, #$MNW, and #$EWT. 🚀👀 Don't miss out on the potential gains! #cryptocurrency #investing #hodl",en,[],[],[],0,0,0,"['gems', 'cryptocurrency', 'investing', 'hodl']",[],https://twitter.com/CryptoTariq/status/1641243786788450305,False,,0,,,,,,,,[],,,,
1641243762910175234,1640982068799893504,2023-03-30 07:59:40 +07,2023-03-30,07:59:40,+0700,1077845119569719296,pesare_haji_,🥕پسر آقای شاه🤴(پسر حاجی قبل انقلاب),,@Hellboy_coin تنهایی عالیه آقا اگر دوست دارید اینارو فقط جفت شید: دروغ خیانت سگ دو زدن التماس نادیده گرفته شدن حسادت از دست دادن پول از دست دادن وقت کردن کار هایی که دوست نداری بخاطر طرف و.. واقعا آشغاله هیچ کس اندازه خودت قدرت رو نمیدونه و نمیتونه دوست داشته باشه خودت بهترینی برای خودت,fa,[],[],[],0,0,0,[],[],https://twitter.com/Pesare_haji_/status/1641243762910175234,False,,0,,,,,,,,"[{'screen_name': 'Hellboy_coin', 'name': '🔥Hellboy🔥#AI & #Metaverse🔥Micro Cap🔥', 'id': '1531464860235603970'}]",,,,
1641243761664573445,1641100651810934785,2023-03-30 07:59:40 +07,2023-03-30,07:59:40,+0700,1340482501471559680,kozycoins,Kozy Coins,,@unusual_whales Not sure “solve” is the right word to use here but ok  California; if it makes you feel better why not,en,[],[],[],0,0,0,[],[],https://twitter.com/KozyCoins/status/1641243761664573445,False,,0,,,,,,,,"[{'screen_name': 'unusual_whales', 'name': 'unusual_whales', 'id': '1200616796295847936'}]",,,,
1641243736477671425,1641140611381096450,2023-03-30 07:59:34 +07,2023-03-30,07:59:34,+0700,368042836,pinerock1010,-,,"@mira_hurley @TuurDemeester Do you honestly think this person (whom is also promoting nano coin 🤦🏼‍♂️) has even the slightest idea what ""unproductive money supply"" (what ever that even means) will be in 20 YEARS. Just try to imagine how much will have changed societally and technologically by then.",en,[],[],[],0,0,0,[],[],https://twitter.com/pinerock1010/status/1641243736477671425,False,,0,,,,,,,,"[{'screen_name': 'mira_hurley', 'name': 'Mira Hurley', 'id': '1310951593785929729'}, {'screen_name': 'TuurDemeester', 'name': 'Tuur Demeester', 'id': '40742821'}]",,,,
1641243713610579969,1641243713610579969,2023-03-30 07:59:28 +07,2023-03-30,07:59:28,+0700,859199708564037632,tinealnah23,Tine aka Piso 🍗 Sender,,coin purse kasi 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,in,[],[],[],0,0,0,[],[],https://twitter.com/TiNEALNAH23/status/1641243713610579969,False,https://twitter.com/TiNEALNAH23/status/1641243259229077504,0,,,,,,,,[],,,,
1641243689187164160,1641243000998350848,2023-03-30 07:59:22 +07,2023-03-30,07:59:22,+0700,1222008882551123968,orth95351957,🚕えぬパパ🚌,,@ad_prize3 @coin_koziki 応募させていただきます,ja,[],[],[],0,0,0,[],[],https://twitter.com/orth95351957/status/1641243689187164160,False,,0,,,,,,,,"[{'screen_name': 'ad_prize3', 'name': '【公式】懸賞＆プレゼント広告塔３号🗼Prize Ad Tower 3', 'id': '1468103906706456576'}, {'screen_name': 'coin_koziki', 'name': '【公式】アンティークコイン価格調査団(β版)～来たれ！情報共有団員募集中！', 'id': '1308947801204613120'}]",,,,
1641243676180643842,1641241105952899072,2023-03-30 07:59:19 +07,2023-03-30,07:59:19,+0700,912026702787645440,lastcoinstandng,lastcoinstanding,,@NY_HODL 😂,qme,[],[],[],0,0,0,[],[],https://twitter.com/LastCoinStandng/status/1641243676180643842,False,,0,,,,,,,,"[{'screen_name': 'NY_HODL', 'name': 'NY_HODL (shitcoin disrespecter)', 'id': '1130513116373159936'}]",,,,
1641243669968683014,1640991373515161600,2023-03-30 07:59:18 +07,2023-03-30,07:59:18,+0700,383970198,curbmanjess,Jess,,@Captain14403150 @RipplePandaXRP Doesn't seem like it ever will happen ..the bots are just trading the same coins back and forth...there is no way this type of trading is real,en,[],[],[],0,0,0,[],[],https://twitter.com/curbmanjess/status/1641243669968683014,False,,0,,,,,,,,"[{'screen_name': 'Captain14403150', 'name': 'X Captain', 'id': '1402389294946291712'}, {'screen_name': 'RipplePandaXRP', 'name': '🐼PandaRippleXRP🐼', 'id': '967644039464931330'}]",,,,
1641243656848920579,1641243656848920579,2023-03-30 07:59:15 +07,2023-03-30,07:59:15,+0700,1502771605231091716,donragan1,Studabak,,"Flip that coin, and Liberal  Democrats are telling women its okay to kill the developing children within their body.... strange huh?",en,[],[],[],0,0,0,[],[],https://twitter.com/DonRagan1/status/1641243656848920579,False,https://twitter.com/StephenKing/status/1641105560132108289,0,,,,,,,,[],,,,
1641243623038623746,1639241024483606530,2023-03-30 07:59:07 +07,2023-03-30,07:59:07,+0700,1116190462916820994,aporsorgangster,Sunshine☀️,,@Korsogyimi Yi coins nu er 😂 TP5 🇬🇭,da,[],[],[],0,0,0,[],[],https://twitter.com/Aporsorgangster/status/1641243623038623746,False,,0,,,,,,,,"[{'screen_name': 'Korsogyimi', 'name': 'Presdoo🇬🇭', 'id': '1128063931925368832'}]",,,,
1641243614784151553,1641101314917556225,2023-03-30 07:59:05 +07,2023-03-30,07:59:05,+0700,1501106991468584960,fra01835536,Ultra,,@LarryDa33603057 @NefariousMoney @TrVon so a reward scam coin  nice going back into the future  how about a coin named earnxen,en,[],[],[],0,0,0,[],[],https://twitter.com/fra01835536/status/1641243614784151553,False,,0,,,,,,,,"[{'screen_name': 'LarryDa33603057', 'name': 'Larry Davis', 'id': '1241007510473060353'}, {'screen_name': 'NefariousMoney', 'name': 'Nefarious', 'id': '1443765706080886784'}, {'screen_name': 'TrVon', 'name': 'TrevonJames.eth 🟢', 'id': '927910572427022341'}]",,,,
1641248146490523653,1641186176479674374,2023-03-30 08:17:05 +07,2023-03-30,08:17:05,+0700,1605664115002953731,coin_clipper,CoinClipper,,@___ejb___ @nypost The media has no shame.,en,[],[],[],0,0,0,[],[],https://twitter.com/coin_clipper/status/1641248146490523653,False,,0,,,,,,,,"[{'screen_name': '___ejb___', 'name': '𝐸𝐵', 'id': '1015295486612291585'}, {'screen_name': 'nypost', 'name': 'New York Post', 'id': '17469289'}]",,,,
1641248143844028417,1641248143844028417,2023-03-30 08:17:05 +07,2023-03-30,08:17:05,+0700,1557804373190770689,amerlcanwhores,AmericanWhores 🎀,,#loveisland i lost my metamask trust wallet coin base hacked nfts stolen hacked coinbase i need a sugar daddy i got scammed my wallet has been stolen i need a logo my instagram got hacked write essay i need a banner homework stolen essay hacked!     https://t.co/sN3MIjbj40,en,[],[],[],0,0,0,['loveisland'],[],https://twitter.com/AMERlCANWHORES/status/1641248143844028417,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1637268277872263169/pu/img/DhFmSu9N41iQ84Ae.jpg,,,,,,,[],,,,
1641248138429345792,1641248138429345792,2023-03-30 08:17:03 +07,2023-03-30,08:17:03,+0700,1355280385286922240,deepfuckingdefi,Deep Fucking Defi,,"Admit it...  Y'all saw all the other coins pumping, got bored, and dumped your $ARB just to see it start pumping today.  I opened a lev long at $1.14 instead of selling.",en,[],[],[],0,0,0,[],['arb'],https://twitter.com/DeepFuckingDefi/status/1641248138429345792,False,,0,,,,,,,,[],,,,
1641248115897368577,1641248115897368577,2023-03-30 08:16:58 +07,2023-03-30,08:16:58,+0700,1478198135474331648,bitcoin_xoe,₿itcoin Xoe 🇭🇹,,"BEWARE: 20,000 flavors of scam-coins only one (1) #Bitcoin   Crypto Fugitive Do Kwon Tells Police He Got VIP Service on the Run  https://t.co/5ywbn17htn",en,[],['https://www.bloomberg.com/news/articles/2023-03-28/crypto-fugitive-kwon-tells-police-he-got-vip-service-on-the-run?utm_content=crypto&utm_medium=social&utm_source=twitter&utm_campaign=socialflow-organic#xj4y7vzkg'],[],0,0,0,['bitcoin'],[],https://twitter.com/Bitcoin_Xoe/status/1641248115897368577,False,,0,,,,,,,,[],,,,
1641248113418715136,1640602437722554370,2023-03-30 08:16:57 +07,2023-03-30,08:16:57,+0700,1623976140301033473,coredao_coin,Core DAO,,@0xcompound 0x3f4A09389b8154E44b0C6455fdd22ee9f91dA05E  #Arbitrum #Airdrop #COM,es,[],[],[],0,0,0,"['arbitrum', 'airdrop', 'com']",[],https://twitter.com/coredao_coin/status/1641248113418715136,False,,0,,,,,,,,"[{'screen_name': '0xcompound', 'name': 'Compound Bond', 'id': '1622485658257469440'}]",,,,
1641248108762759169,1640938728095924224,2023-03-30 08:16:56 +07,2023-03-30,08:16:56,+0700,220578373,sikodin,Sikodin - Toss a Coin to your Twitcher 💰,,@ScottFalco *sending you good vibes*,en,[],[],[],0,0,0,[],[],https://twitter.com/Sikodin/status/1641248108762759169,False,,0,,,,,,,,"[{'screen_name': 'ScottFalco', 'name': 'ScottFalco', 'id': '64964174'}]",,,,
1641248089808728065,1641208128866861058,2023-03-30 08:16:52 +07,2023-03-30,08:16:52,+0700,1431087710266138625,vfd_coins,VFD Coins,,"@NEEDcreations Whatever preserves purchasing power the best over a long period of time, while being divisible, fungible, transportable, durable, scarce, and a deflationary unit of account. #Bitcoin is money / fiat don't hurt me / Oh, fiat , don't hurt me / Don't hurt me no more / What is money?",en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/VFD_Coins/status/1641248089808728065,False,,0,,,,,,,,"[{'screen_name': 'NEEDcreations', 'name': '🧡NEEDcreations is stacking sats & jamming to EDM', 'id': '805160271388049408'}]",,,,
1641248074071957505,1641248074071957505,2023-03-30 08:16:48 +07,2023-03-30,08:16:48,+0700,926303893536960513,0xmerp,merp,,BUILD AND BUILD COIN,en,[],[],[],0,0,0,[],[],https://twitter.com/0xMerp/status/1641248074071957505,False,,0,,,,,,,,[],,,,
1641248069269479425,1641207335858126848,2023-03-30 08:16:47 +07,2023-03-30,08:16:47,+0700,1252213105934782464,stonaay,stonay,,"@Jake_FutTrading Past and present liverpool for vibes, second fut team so coins are too low for a special mo or Darwin (Ali is transfer listed lol)  https://t.co/b01sCTZhwt",en,[],[],['https://pbs.twimg.com/media/FsbianuaUAE6i3s.jpg'],0,0,0,[],[],https://twitter.com/Stonaay/status/1641248069269479425,False,,1,https://pbs.twimg.com/media/FsbianuaUAE6i3s.jpg,,,,,,,"[{'screen_name': 'Jake_FutTrading', 'name': 'Jake', 'id': '935164009631928320'}]",,,,
1641248066459037703,1639342175069560835,2023-03-30 08:16:46 +07,2023-03-30,08:16:46,+0700,1524129660686192642,ralazeez13,Raja,,@TheCoinFortune Can you pleas do a coin op analysis?,en,[],[],[],0,0,0,[],[],https://twitter.com/Ralazeez13/status/1641248066459037703,False,,0,,,,,,,,"[{'screen_name': 'TheCoinFortune', 'name': 'The Coin Fortune', 'id': '2466050388'}]",,,,
1641248048998232065,1641183552334188544,2023-03-30 08:16:42 +07,2023-03-30,08:16:42,+0700,35814598,badrib,1BAD Bala,,@jihadwatchRS Brain foggy.. you pay her a few coins she will do anything.,en,[],[],[],0,0,0,[],[],https://twitter.com/BADRIB/status/1641248048998232065,False,,0,,,,,,,,"[{'screen_name': 'jihadwatchRS', 'name': 'Robert Spencer روبرت سبنسر रॉबर्ट स्पेंसर 🇺🇸', 'id': '19985444'}]",,,,
